"V1","V2","V3"
0.775921923405437,0.224001482581238,7.65940133247133e-05
0.795187169890377,0.204783606300056,2.92238095669086e-05
0.924314145158038,0.0756745931414582,1.12617005037107e-05
0.784707860875593,0.212910808415977,0.00238133070842956
0.596668354142948,0.385072292116796,0.0182593537402554
0.709158549635818,0.289617842092617,0.00122360827156531
0.799194912678841,0.198439115705229,0.00236597161593007
0.770005554307451,0.22779371701667,0.00220072867587891
0.674271664774357,0.325633709213496,9.46260121475553e-05
0.739625125645355,0.257516374058925,0.00285850029571997
0.85363758299588,0.0572675119477697,0.0890949050563501
0.562503923802572,0.435358129242062,0.00213794695536594
0.625075586321863,0.371597504781129,0.00332690889700794
0.831882950342895,0.16798759695949,0.000129452697614768
0.763035442748081,0.161792822117055,0.075171735134864
0.684919580593157,0.219672457349337,0.0954079620575057
0.861644523718876,0.138329234884516,2.62413966084049e-05
0.633860356612087,0.365292185121049,0.000847458266863817
0.839233933298112,0.0676540682825792,0.0931119984193089
0.923389976272576,0.076609574564126,4.49163297932961e-07
0.775419587854212,0.224444675923565,0.000135736222223285
0.939603600638966,0.0601097410845669,0.000286658276467075
0.913438721232005,0.0847985451914316,0.00176273357656379
0.483216391897204,0.513297672770619,0.00348593533217676
0.756475245837103,0.238825971502257,0.00469878266063961
0.91044144401858,0.087581139124185,0.00197741685723462
0.718666844480714,0.271332384541257,0.0100007709780285
0.768207788959272,0.222156881779757,0.00963532926097072
0.913639940628511,0.0814071042675294,0.00495295510395941
0.824223558579875,0.161605807596526,0.0141706338235997
0.811882763574558,0.163265170513682,0.02485206591176
0.586044541382761,0.362593580498819,0.0513618781184206
0.741866942829504,0.238351202274218,0.0197818548962777
0.531088426101226,0.427922447906209,0.0409891259925652
0.52128246200805,0.478716293171774,1.24482017549303e-06
0.572405397909148,0.368760499516677,0.0588341025741755
0.615172991300816,0.316690653193792,0.0681363555053915
0.549943668484725,0.419419647145327,0.0306366843699485
0.850719215147434,0.149279778709281,1.00614328513769e-06
0.825989733284904,0.160040422017097,0.0139698446979983
0.54356537658954,0.113444443162313,0.342990180248147
0.745900997212774,0.168247163256947,0.0858518395302795
0.745283416015996,0.0159760746557589,0.238740509328245
0.828749655573022,0.169883332390861,0.00136701203611718
0.687363706806667,0.299617286838191,0.0130190063551418
0.619693118574643,0.378428030251365,0.00187885117399206
0.885808925557619,0.101061107329725,0.0131299671126556
